region,programme_title,p1_site,p1_speciality,p2_site,p2_speciality,p3_site,p3_speciality,p4_site,p4_speciality,p4_description,p5_site,p5_speciality,p5_description,p6_site,p6_speciality,p6_description
West,ScotW34012,University Hospital Hairmyres,Geriatric Medicine,University Hospital Hairmyres,General Surgery,University Hospital Hairmyres,General (Internal) Medicine,University Hospital Hairmyres,Emergency Medicine,Emergency Medicine and Realistic Medicine,Dr L Bell & Partners,General Practice,"Dr L Bell & Partners, Motherwell Health Centre, 138/144 Windmillhill Street, Motherwell, ML1 1TB (L62690)",University Hospital Hairmyres,General (Internal) Medicine,
West,ScotW34013,University Hospital Hairmyres,Geriatric Medicine,University Hospital Hairmyres,General (Internal) Medicine,University Hospital Hairmyres,General Surgery,University Hospital Hairmyres,Geriatric Medicine,,The Cairns Practice,General Practice,"The Cairns Practice, Shettleston Health Centre, 420 Old Shettleston Road, Glasgow, G32 7JZ (G46081)",University Hospital Wishaw,Obstetrics and Gynaecology,
West,ScotW34014,University Hospital Hairmyres,General Surgery,University Hospital Hairmyres,Geriatric Medicine,University Hospital Hairmyres,General (Internal) Medicine,University Hospital Wishaw,Obstetrics and Gynaecology,,University Hospital Hairmyres,Geriatric Medicine,,The Cairns Practice,General Practice,"The Cairns Practice, Shettleston Health Centre, 420 Old Shettleston Road, Glasgow, G32 7JZ (G46081)"
West,ScotW34015,University Hospital Hairmyres,General (Internal) Medicine,University Hospital Hairmyres,General Surgery,University Hospital Hairmyres,Geriatric Medicine,The Cairns Practice,General Practice,"The Cairns Practice, Shettleston Health Centre, 420 Old Shettleston Road, Glasgow, G32 7JZ (G46081)",University Hospital Hairmyres,Obstetrics and Gynaecology,,University Hospital Hairmyres,Geriatric Medicine,
West,ScotW35001,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Endocrinology and Diabetes Mellitus,,Glasgow Royal Infirmary,Plastic Surgery,,Castlemilk Group Practice,General Practice,"Castlemilk Group Practice, 71 Dougrie Drive, Castlemilk , Glasgow G45 9AW (G49751)"
West,ScotW35002,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,Castlemilk Group Practice,General Practice,"Castlemilk Group Practice, 71 Dougrie Drive, Castlemilk , Glasgow G45 9AW (G49751)",Glasgow Royal Infirmary,Endocrinology and Diabetes Mellitus,,Glasgow Royal Infirmary,Plastic Surgery,
West,ScotW35003,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Plastic Surgery,,Castlemilk Group Practice,General Practice,"Castlemilk Group Practice, 71 Dougrie Drive, Castlemilk , Glasgow G45 9AW (G49751)",Glasgow Royal Infirmary,Endocrinology and Diabetes Mellitus,
West,ScotW35004,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,Glasgow Royal Infirmary,General Surgery,Royal Hospital for Children Glasgow,Paediatrics,,Queen Elizabeth University Hospital,General Surgery,,"Drs Carse, Bryne & Reilly",General Practice,"Drs Carse, Bryne & Reilly, Govanhill Health Centre, 233 Calder Street, Glasgow, G42 7DR (G49751)"
West,ScotW35005,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,"Drs Carse, Bryne & Reilly",General Practice,"Drs Carse, Bryne & Reilly, Govanhill Health Centre, 233 Calder Street, Glasgow G42 7DR (G49751)",Royal Hospital for Children Glasgow,Paediatrics,,Queen Elizabeth University Hospital,General Surgery,
West,ScotW35006,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Queen Elizabeth University Hospital,General Surgery,,"Drs Carse, Bryne & Reilly",General Practice,"Drs Carse, Bryne & Reilly, Govanhill Health Centre, 233 Calder Street, Glasgow G42 7DR (G49751)",Royal Hospital for Children Glasgow,Paediatrics,
West,ScotW35007,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General Surgery,Royal Hospital for Children Glasgow,Paediatrics,Paediatrics and Neonatal Medicine,Queen Elizabeth University Hospital,General Surgery,,Gartnavel Royal Hospital,General Psychiatry,
West,ScotW35008,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Gartnavel Royal Hospital,General Psychiatry,,Royal Hospital for Children Glasgow,Paediatrics,Paediatrics and Neonatal Medicine,Queen Elizabeth University Hospital,General Surgery,
West,ScotW35009,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Queen Elizabeth University Hospital,General Surgery,,Gartnavel Royal Hospital,General Psychiatry,,Royal Hospital for Children Glasgow,Paediatrics,Paediatrics and Neonatal Medicine
West,ScotW35010,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General Surgery,The Cairns Practice,General Practice,"The Cairns Practice, Shettleston Health Centre, 420 Old Shettleston Road, Glasgow, G32 7JZ (G46081)",Queen Elizabeth University Hospital,General Surgery,,Queen Elizabeth University Hospital,Obstetrics and Gynaecology,
West,ScotW35011,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Queen Elizabeth University Hospital,Obstetrics and Gynaecology,,The Cairns Practice,General Practice,"The Cairns Practice, Shettleston Health Centre, 420 Old Shettleston Road, Glasgow, G32 7JZ (G46081)",Queen Elizabeth University Hospital,General Surgery,
West,ScotW35012,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Queen Elizabeth University Hospital,General Surgery,,Queen Elizabeth University Hospital,Obstetrics and Gynaecology,,The Cairns Practice,General Practice,"The Cairns Practice, Shettleston Health Centre, 420 Old Shettleston Road, Glasgow, G32 7JZ (G46081)"
West,ScotW35013,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Queen Elizabeth University Hospital,Neurosurgery,,Queen Elizabeth University Hospital,Trauma and Orthopaedic Surgery,,Gartnavel Royal Hospital,General Psychiatry,
West,ScotW35014,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Gartnavel Royal Hospital,General Psychiatry,,Queen Elizabeth University Hospital,Neurosurgery,,Queen Elizabeth University Hospital,Trauma and Orthopaedic Surgery,
West,ScotW35015,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Queen Elizabeth University Hospital,Trauma and Orthopaedic Surgery,,Gartnavel Royal Hospital,General Psychiatry,,Queen Elizabeth University Hospital,Neurosurgery,
West,ScotW36001,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Renal Medicine,Queen Elizabeth University Hospital,General Surgery,Queen Elizabeth University Hospital,Emergency Medicine,,Queen Elizabeth University Hospital,Neurosurgery,with Liaison Psychiatry,Queen Elizabeth University Hospital,Oral and Maxillo-facial Surgery,
West,ScotW36002,Queen Elizabeth University Hospital,General Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Renal Medicine,Queen Elizabeth University Hospital,Oral and Maxillo-facial Surgery,,Queen Elizabeth University Hospital,Emergency Medicine,,Queen Elizabeth University Hospital,Neurosurgery,
West,ScotW36003,Queen Elizabeth University Hospital,Renal Medicine,Queen Elizabeth University Hospital,General Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Neurosurgery,,Queen Elizabeth University Hospital,Oral and Maxillo-facial Surgery,,Queen Elizabeth University Hospital,Emergency Medicine,
West,ScotW36004,Royal Alexandra Hospital,General (Internal) Medicine,Royal Alexandra Hospital,General (Internal) Medicine,Royal Alexandra Hospital,Trauma and Orthopaedic Surgery,Inverclyde Royal Hospital,Geriatric Medicine,,Royal Alexandra Hospital,Trauma and Orthopaedic Surgery,,Port Glasgow Medical Centre,General Practice,"Port Glasgow Medical Centre, 4 Dubbs Place, Port Glasgow, PA14 5UD (G86336)"
West,ScotW36005,Royal Alexandra Hospital,Trauma and Orthopaedic Surgery,Royal Alexandra Hospital,General (Internal) Medicine,Royal Alexandra Hospital,General (Internal) Medicine,Port Glasgow Medical Centre,General Practice,"Port Glasgow Medical Centre, 4 Dubbs Place, Port Glasgow, PA14 5UD (G86336)",Inverclyde Royal Hospital,Geriatric Medicine,,Royal Alexandra Hospital,Trauma and Orthopaedic Surgery,
West,ScotW36006,Royal Alexandra Hospital,General (Internal) Medicine,Royal Alexandra Hospital,Trauma and Orthopaedic Surgery,Royal Alexandra Hospital,General (Internal) Medicine,Royal Alexandra Hospital,Trauma and Orthopaedic Surgery,,Port Glasgow Medical Centre,General Practice,"Port Glasgow Medical Centre, 4 Dubbs Place, Port Glasgow, PA14 5UD (G86336)",Inverclyde Royal Hospital,Geriatric Medicine,
West,ScotW36007,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,The  Princess Royal Maternity Unit,Obstetrics and Gynaecology,Queen Elizabeth University Hospital,General (Internal) Medicine,,Queen Elizabeth University Hospital,Neurosurgery,,Queen Elizabeth University Hospital,Oral and Maxillo-facial Surgery,
West,ScotW36008,The Princess Royal Maternity Unit,Obstetrics and Gynaecology,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Queen Elizabeth University Hospital,Oral and Maxillo-facial Surgery,,Queen Elizabeth University Hospital,General (Internal) Medicine,,Queen Elizabeth University Hospital,Neurosurgery,
West,ScotW36009,Glasgow Royal Infirmary,General (Internal) Medicine,The Princess Royal Maternity Unit,Obstetrics and Gynaecology,Glasgow Royal Infirmary,General (Internal) Medicine,Queen Elizabeth University Hospital,Neurosurgery,,Queen Elizabeth University Hospital,Oral and Maxillo-facial Surgery,,Queen Elizabeth University Hospital,General (Internal) Medicine,
West,ScotW36010,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,The  Princess Royal Maternity Unit,Obstetrics and Gynaecology,Glasgow Royal Infirmary,General (Internal) Medicine,,Glasgow Royal Infirmary,Emergency Medicine,,Main Street Medical Centre,General Practice,"Main Street Medical Centre, 40 Main Street, Glasgow, G40 1HA (G46184)"
West,ScotW36011,The Princess Royal Maternity Unit,Obstetrics and Gynaecology,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Main Street Medical Centre,General Practice,"Main Street Medical Centre, 40 Main Street, Glasgow, G40 1HA (G46184)",Glasgow Royal Infirmary,General (Internal) Medicine,,Glasgow Royal Infirmary,Emergency Medicine,
West,ScotW36012,Glasgow Royal Infirmary,General Surgery,The Princess Royal Maternity Unit,Obstetrics and Gynaecology,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Emergency Medicine,,Main Street Medical Centre,General Practice,"Main Street Medical Centre, 40 Main Street, Glasgow, G40 1HA (G46184)",Glasgow Royal Infirmary,General (Internal) Medicine,
West,ScotW37001,Forth Valley Royal Hospital,General (Internal) Medicine,Forth Valley Royal Hospital,Acute Internal Medicine,Forth Valley Royal Hospital,General Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,,Leverndale Hospital,General Psychiatry,General Psychiatry and Liaison Psychiatry,Queen Elizabeth University Hospital,Obstetrics and Gynaecology,
West,ScotW37002,Forth Valley Royal Hospital,General Surgery,Forth Valley Royal Hospital,General (Internal) Medicine,Forth Valley Royal Hospital,Acute Internal Medicine,Queen Elizabeth University Hospital,Obstetrics and Gynaecology,,Queen Elizabeth University Hospital,General (Internal) Medicine,,Leverndale Hospital,General Psychiatry,General Psychiatry and Liaison Psychiatry
West,ScotW37003,Forth Valley Royal Hospital,Acute Internal Medicine,Forth Valley Royal Hospital,General Surgery,Forth Valley Royal Hospital,General (Internal) Medicine,Leverndale Hospital,General Psychiatry,General Psychiatry and Liaison Psychiatry,Queen Elizabeth University Hospital,Obstetrics and Gynaecology,,Queen Elizabeth University Hospital,General (Internal) Medicine,
West,ScotW37004,University Hospital Ayr,General (Internal) Medicine,University Hospital Ayr,General (Internal) Medicine,University Hospital Ayr,General Surgery,University Hospital Crosshouse,Geriatric Medicine,Geriatric Medicine and Stroke Medicine,University Hospital Crosshouse,Trauma and Orthopaedic Surgery,,University Hospital Ayr,Emergency Medicine,
West,ScotW37005,University Hospital Ayr,General Surgery,University Hospital Ayr,General (Internal) Medicine,University Hospital Ayr,General (Internal) Medicine,University Hospital Ayr,Emergency Medicine,,University Hospital Crosshouse,Geriatric Medicine,Geriatric Medicine and Stroke Medicine,University Hospital Crosshouse,Trauma and Orthopaedic Surgery,
West,ScotW37006,University Hospital Ayr,General (Internal) Medicine,University Hospital Ayr,General Surgery,University Hospital Ayr,General (Internal) Medicine,University Hospital Crosshouse,Trauma and Orthopaedic Surgery,,University Hospital Ayr,Emergency Medicine,,University Hospital Crosshouse,Geriatric Medicine,Geriatric Medicine and Stroke Medicine
West,ScotW37007,University Hospital Ayr,Intensive Care Medicine,University Hospital Ayr,General (Internal) Medicine,University Hospital Ayr,General Surgery,University Hospital Crosshouse,General (Internal) Medicine,,Woodland View Hospital,General Psychiatry,based in Woodland View Hospital and Ailsa Hospital,University Hospital Crosshouse,Obstetrics and Gynaecology,
West,ScotW37008,University Hospital Ayr,General Surgery,University Hospital Ayr,Intensive Care Medicine,University Hospital Ayr,General (Internal) Medicine,University Hospital Crosshouse,Obstetrics and Gynaecology,,University Hospital Crosshouse,General (Internal) Medicine,,Woodland View Hospital,General Psychiatry,based in Woodland View Hospital and Ailsa Hospital
West,ScotW37009,University Hospital Ayr,General (Internal) Medicine,University Hospital Ayr,General Surgery,University Hospital Ayr,Intensive Care Medicine,Woodland View Hospital,General Psychiatry,based in Woodland View Hospital and Ailsa Hospital,University Hospital Crosshouse,Obstetrics and Gynaecology,,University Hospital Crosshouse,General (Internal) Medicine,
West,ScotW37010,Inverclyde Royal Hospital,General (Internal) Medicine,Royal Alexandra Hospital,Trauma and Orthopaedic Surgery,Royal Alexandra Hospital,General (Internal) Medicine,University Hospital Crosshouse,General (Internal) Medicine,,Woodland View Hospital,General Psychiatry,,University Hospital Crosshouse,Oral and Maxillo-facial Surgery,
West,ScotW37011,Royal Alexandra Hospital,General (Internal) Medicine,Inverclyde Royal Hospital,General (Internal) Medicine,Royal Alexandra Hospital,Trauma and Orthopaedic Surgery,University Hospital Crosshouse,Oral and Maxillo-facial Surgery,,University Hospital Crosshouse,General (Internal) Medicine,,Woodland View Hospital,General Psychiatry,
West,ScotW37012,Royal Alexandra Hospital,Trauma and Orthopaedic Surgery,Royal Alexandra Hospital,General (Internal) Medicine,Inverclyde Royal Hospital,General (Internal) Medicine,Woodland View Hospital,General Psychiatry,,University Hospital Crosshouse,Oral and Maxillo-facial Surgery,,University Hospital Crosshouse,General (Internal) Medicine,
West,ScotW37013,Queen Elizabeth University Hospital,General (Internal) Medicine,Royal Alexandra Hospital,General (Internal) Medicine,Royal Alexandra Hospital,General Surgery,Frew Terrace Surgery,General Practice,"Frew Terrace Surgery, 9 Few Terrace, Irvine, KA12 9DY (A80698)",Queen Elizabeth University Hospital,General Surgery,,Woodland View Hospital,General Psychiatry,
West,ScotW37014,Royal Alexandra Hospital,General Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Royal Alexandra Hospital,General (Internal) Medicine,Woodland View Hospital,General Psychiatry,,Frew Terrace Surgery,General Practice,"Frew Terrace Surgery, 9 Few Terrace, Irvine, KA12 9DY (A80698)",Queen Elizabeth University Hospital,General Surgery,
West,ScotW37015,Royal Alexandra Hospital,General (Internal) Medicine,Royal Alexandra Hospital,General Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,General Surgery,,Woodland View Hospital,General Psychiatry,,Frew Terrace Surgery,General Practice,"Frew Terrace Surgery, 9 Few Terrace, Irvine, KA12 9DY (A80698)"
West,ScotW38001,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Geriatric Medicine,Royal Hospital for Children Glasgow,Paediatric Surgery,The New Surgery,General Practice,"The New Surgery, The Cargill Centre, Lochwinnoch Road, Kilmacolm, PA13 4LE (G86209)",Gartnavel General Hospital,Ophthalmology,,Royal Hospital for Children Glasgow,Paediatrics,
West,ScotW38002,Royal Hospital for Children Glasgow,Paediatric Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Geriatric Medicine,Royal Hospital for Children Glasgow,Paediatrics,,The New Surgery,General Practice,"The New Surgery, The Cargill Centre, Lochwinnoch Road, Kilmacolm, PA13 4LE (G86209)",Gartnavel General Hospital,Ophthalmology,
West,ScotW38003,Queen Elizabeth University Hospital,Geriatric Medicine,Royal Hospital for Children Glasgow,Paediatric Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Gartnavel General Hospital,Ophthalmology,,Royal Hospital for Children Glasgow,Paediatrics,,The New Surgery,General Practice,"The New Surgery, The Cargill Centre, Lochwinnoch Road, Kilmacolm, PA13 4LE (G86209)"
West,ScotW38004,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Geriatric Medicine,Royal Hospital for Children Glasgow,Paediatric Surgery,Queen Elizabeth University Hospital,Respiratory Medicine,,Gartnavel General Hospital,Ophthalmology,,Royal Hospital for Children Glasgow,Paediatrics,
West,ScotW38005,Royal Hospital for Children Glasgow,Paediatric Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Geriatric Medicine,Royal Hospital for Children Glasgow,Paediatrics,,Queen Elizabeth University Hospital,Respiratory Medicine,,Gartnavel General Hospital,Ophthalmology,
West,ScotW38006,Queen Elizabeth University Hospital,Geriatric Medicine,Royal Hospital for Children Glasgow,Paediatric Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Gartnavel General Hospital,Ophthalmology,,Royal Hospital for Children Glasgow,Paediatrics,,Queen Elizabeth University Hospital,Respiratory Medicine,
West,ScotW38007,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Geriatric Medicine,Royal Hospital for Children Glasgow,Paediatric Surgery,Queen Elizabeth University Hospital,Otolaryngology,,Beatson West of Scotland Cancer Centre,Medical Oncology,,Royal Hospital for Children Glasgow,Paediatrics,
West,ScotW38008,Royal Hospital for Children Glasgow,Paediatric Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Geriatric Medicine,Royal Hospital for Children Glasgow,Paediatrics,,Queen Elizabeth University Hospital,Otolaryngology,,Beatson West of Scotland Cancer Centre,Medical Oncology,
West,ScotW38009,Queen Elizabeth University Hospital,Geriatric Medicine,Royal Hospital for Children Glasgow,Paediatric Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Beatson West of Scotland Cancer Centre,Medical Oncology,,Royal Hospital for Children Glasgow,Paediatrics,,Queen Elizabeth University Hospital,Otolaryngology,
West,ScotW38010,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,General (Internal) Medicine,Royal Hospital for Children Glasgow,Paediatric Surgery,Queen Elizabeth University Hospital,Geriatric Medicine,,Queen Elizabeth University Hospital,Urology,,Royal Hospital for Children Glasgow,Paediatrics,
West,ScotW38011,Royal Hospital for Children Glasgow,Paediatric Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,General (Internal) Medicine,Royal Hospital for Children Glasgow,Paediatrics,,Queen Elizabeth University Hospital,Geriatric Medicine,,Queen Elizabeth University Hospital,Urology,
West,ScotW38012,Queen Elizabeth University Hospital,General (Internal) Medicine,Royal Hospital for Children Glasgow,Paediatric Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Urology,,Royal Hospital for Children Glasgow,Paediatrics,,Queen Elizabeth University Hospital,Geriatric Medicine,
West,ScotW38013,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,General Surgery,Royal Hospital for Children Glasgow,Paediatric Intensive Care Medicine,Queen Elizabeth University Hospital,Infectious Diseases,,Queen Elizabeth University Hospital,Old Age Psychiatry,Old Age Psychiatry and Liaison Psychiatry,Queen Elizabeth University Hospital,Obstetrics and Gynaecology,
West,ScotW38014,Royal Hospital for Children Glasgow,Paediatric Intensive Care Medicine,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,General Surgery,Queen Elizabeth University Hospital,Obstetrics and Gynaecology,,Queen Elizabeth University Hospital,Infectious Diseases,,Queen Elizabeth University Hospital,Old Age Psychiatry,Old Age Psychiatry and Liaison Psychiatry
West,ScotW38015,Queen Elizabeth University Hospital,General Surgery,Royal Hospital for Children Glasgow,Paediatric Intensive Care Medicine,Queen Elizabeth University Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Old Age Psychiatry,Old Age Psychiatry and Liaison Psychiatry,Queen Elizabeth University Hospital,Obstetrics and Gynaecology,,Queen Elizabeth University Hospital,Infectious Diseases,
West,ScotW39001,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Acute Internal Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Rheumatology,,Glasgow Royal Infirmary,Cardiology,,Glasgow Royal Infirmary,General Surgery,
West,ScotW39002,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Acute Internal Medicine,Glasgow Royal Infirmary,General Surgery,,Glasgow Royal Infirmary,Rheumatology,,Glasgow Royal Infirmary,Cardiology,
West,ScotW39003,Glasgow Royal Infirmary,Acute Internal Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Cardiology,,Glasgow Royal Infirmary,General Surgery,,Glasgow Royal Infirmary,Rheumatology,
North,ScotN01001,Aberdeen Royal Infirmary,Neurosurgery,Aberdeen Royal Infirmary,Respiratory Medicine,Aberdeen Royal Infirmary,General Surgery,Balfour Hospital,General (Internal) Medicine,,Aberdeen Royal Infirmary,Cardiology,,Aberdeen Royal Infirmary,Cardio-thoracic Surgery,
North,ScotN01002,Aberdeen Royal Infirmary,Respiratory Medicine,Aberdeen Royal Infirmary,General Surgery,Aberdeen Royal Infirmary,Neurosurgery,Aberdeen Royal Infirmary,Cardiology,,Aberdeen Royal Infirmary,Cardio-thoracic Surgery,,Balfour Hospital,General (Internal) Medicine,
North,ScotN01003,Aberdeen Royal Infirmary,General Surgery,Aberdeen Royal Infirmary,Neurosurgery,Aberdeen Royal Infirmary,Respiratory Medicine,Aberdeen Royal Infirmary,Cardio-thoracic Surgery,,Balfour Hospital,General (Internal) Medicine,,Aberdeen Royal Infirmary,Cardiology,
North,ScotN01004,Aberdeen Royal Infirmary,Acute Internal Medicine,Aberdeen Royal Infirmary,Urology,Aberdeen Royal Infirmary,Trauma and Orthopaedic Surgery,Skerryvore Practice,General Practice,"Skerryvore Practice, New Scapa Road, Kirkwall, Orkney, KW15 1BX (R38012)",Aberdeen Royal Infirmary,Clinical Oncology,,Aberdeen Maternity Hospital,Paediatrics,Paediatrics with Neonatal Medicine
North,ScotN01005,Aberdeen Royal Infirmary,Trauma and Orthopaedic Surgery,Aberdeen Royal Infirmary,Acute Internal Medicine,Aberdeen Royal Infirmary,Urology,Aberdeen Royal Infirmary,Clinical Oncology,,Aberdeen Maternity Hospital,Paediatrics,Paediatrics and Neonatal Medicine,Skerryvore Practice,General Practice,"Skerryvore Practice, New Scapa Road, Kirkwall, Orkney, KW15 1BX (R38012)"
North,ScotN01006,Aberdeen Royal Infirmary,Urology,Aberdeen Royal Infirmary,Trauma and Orthopaedic Surgery,Aberdeen Royal Infirmary,Acute Internal Medicine,Aberdeen Maternity Hospital,Paediatrics,Paediatrics with Neonatal Medicine,Skerryvore Practice,General Practice,"Skerryvore Practice, New Scapa Road, Kirkwall, Orkney, KW15 1BX (R38012)",Aberdeen Royal Infirmary,Clinical Oncology,
North,ScotN01007,Aberdeen Royal Infirmary,Haematology,Aberdeen Royal Infirmary,Infectious Diseases,Aberdeen Royal Infirmary,General Surgery,Balfour Hospital,General (Internal) Medicine,,Hamilton Medical Group,General Practice,"Hamilton Medical Group, 4 Queens Road, Aberdeen, AB15 4ZT (N30218)",Aberdeen Royal Infirmary,Ophthalmology,
North,ScotN01008,Aberdeen Royal Infirmary,Infectious Diseases,Aberdeen Royal Infirmary,General Surgery,Aberdeen Royal Infirmary,Haematology,Hamilton Medical Group,General Practice,"Hamilton Medical Group, 4 Queens Road, Aberdeen, AB15 4ZT (N30218)",Aberdeen Royal Infirmary,Ophthalmology,,Balfour Hospital,General (Internal) Medicine,
North,ScotN01009,Aberdeen Royal Infirmary,General Surgery,Aberdeen Royal Infirmary,Haematology,Aberdeen Royal Infirmary,Infectious Diseases,Aberdeen Royal Infirmary,Ophthalmology,,Balfour Hospital,General (Internal) Medicine,,Hamilton Medical Group,General Practice,"Hamilton Medical Group, 4 Queens Road, Aberdeen, AB15 4ZT (N30218)"
North,ScotN01010,Aberdeen Royal Infirmary,General (Internal) Medicine,Aberdeen Royal Infirmary,Acute Internal Medicine,Aberdeen Royal Infirmary,General Surgery,Dr Gray's Hospital,Paediatrics,Paediatrics and Obstetrics and Gynaecology,Aberdeen Royal Infirmary,Urology,,Woodside Medical Group,General Practice,"Woodside Medical Group, Woodside Fountain Health Centre, Great Northern Road, Aberdeen, AB24 2AS (N31141)"
North,ScotN01011,Aberdeen Royal Infirmary,Acute Internal Medicine,Aberdeen Royal Infirmary,General Surgery,Aberdeen Royal Infirmary,General (Internal) Medicine,Woodside Medical Group,General Practice,"Woodside Medical Group, Woodside Fountain Health Centre, Great Northern Road, Aberdeen, AB24 2AS (N31141)",Dr Gray's Hospital,Paediatrics,Paediatrics and Obstetrics and Gynaecology,Aberdeen Royal Infirmary,Urology,
North,ScotN01012,Aberdeen Royal Infirmary,General Surgery,Aberdeen Royal Infirmary,General (Internal) Medicine,Aberdeen Royal Infirmary,Acute Internal Medicine,Aberdeen Royal Infirmary,Urology,,Woodside Medical Group,General Practice,"Woodside Medical Group, Woodside Fountain Health Centre, Great Northern Road, Aberdeen AB24 2AS (N31141)",Dr Gray's Hospital,Paediatrics,Paediatrics and Obstetrics and Gynaecology
North,ScotN02001,Aberdeen Royal Infirmary,Infectious Diseases,Aberdeen Royal Infirmary,Cardiology,Aberdeen Royal Infirmary,General Surgery,Aberdeen Maternity Hospital,Obstetrics and Gynaecology,,Aberdeen Royal Infirmary,Acute Internal Medicine,,Woodend General Hospital,Trauma and Orthopaedic Surgery,
North,ScotN02002,Aberdeen Royal Infirmary,Cardiology,Aberdeen Royal Infirmary,General Surgery,Aberdeen Royal Infirmary,Infectious Diseases,Aberdeen Royal Infirmary,Acute Internal Medicine,,Woodend General Hospital,Trauma and Orthopaedic Surgery,,Aberdeen Maternity Hospital,Obstetrics and Gynaecology,
